Rainfall - (MM), Year, Statistics, Country, ISO3
41.9, 2014, Apr Average, Australia, AUS
23.4, 2014, May Average, Australia, AUS
19.5, 2014, Jun Average, Australia, AUS
16.9, 2014, Jul Average, Australia, AUS
21.7, 2014, Aug Average, Australia, AUS
13.6, 2014, Sep Average, Australia, AUS
14.1, 2014, Oct Average, Australia, AUS
29.5, 2014, Nov Average, Australia, AUS
52.4, 2014, Dec Average, Australia, AUS
103.9, 2015, Jan Average, Australia, AUS
62.7, 2015, Feb Average, Australia, AUS
48.2, 2015, Mar Average, Australia, AUS
31.0, 2015, Apr Average, Australia, AUS
25.9, 2015, May Average, Australia, AUS
20.9, 2015, Jun Average, Australia, AUS
18.5, 2015, Jul Average, Australia, AUS
20.5, 2015, Aug Average, Australia, AUS
11.3, 2015, Sep Average, Australia, AUS
13.9, 2015, Oct Average, Australia, AUS
37.9, 2015, Nov Average, Australia, AUS
52.4, 2015, Dec Average, Australia, AUS
81.3, 2016, Jan Average, Australia, AUS
56.5, 2016, Feb Average, Australia, AUS
68.8, 2016, Mar Average, Australia, AUS
21.2, 2016, Apr Average, Australia, AUS
31.5, 2016, May Average, Australia, AUS
40.9, 2016, Jun Average, Australia, AUS
31.5, 2016, Jul Average, Australia, AUS
23.0, 2016, Aug Average, Australia, AUS
29.2, 2016, Sep Average, Australia, AUS
24.1, 2016, Oct Average, Australia, AUS
29.0, 2016, Nov Average, Australia, AUS
59.0, 2016, Dec Average, Australia, AUS
98.2, 2017, Jan Average, Australia, AUS
76.4, 2017, Feb Average, Australia, AUS
71.2, 2017, Mar Average, Australia, AUS
30.1, 2017, Apr Average, Australia, AUS
20.6, 2017, May Average, Australia, AUS
13.5, 2017, Jun Average, Australia, AUS
15.0, 2017, Jul Average, Australia, AUS
16.4, 2017, Aug Average, Australia, AUS
12.5, 2017, Sep Average, Australia, AUS
29.1, 2017, Oct Average, Australia, AUS
34.9, 2017, Nov Average, Australia, AUS
49.0, 2017, Dec Average, Australia, AUS
86.7, 2018, Jan Average, Australia, AUS
78.8, 2018, Feb Average, Australia, AUS
61.9, 2018, Mar Average, Australia, AUS
20.6, 2018, Apr Average, Australia, AUS
16.9, 2018, May Average, Australia, AUS
21.9, 2018, Jun Average, Australia, AUS
15.7, 2018, Jul Average, Australia, AUS
17.9, 2018, Aug Average, Australia, AUS
12.3, 2018, Sep Average, Australia, AUS
23.9, 2018, Oct Average, Australia, AUS
35.4, 2018, Nov Average, Australia, AUS
52.0, 2018, Dec Average, Australia, AUS
68.7, 2019, Jan Average, Australia, AUS
64.1, 2019, Feb Average, Australia, AUS
55.4, 2019, Mar Average, Australia, AUS
25.2, 2019, Apr Average, Australia, AUS
21.5, 2019, May Average, Australia, AUS
22.2, 2019, Jun Average, Australia, AUS
14.4, 2019, Jul Average, Australia, AUS
15.9, 2019, Aug Average, Australia, AUS
10.9, 2019, Sep Average, Australia, AUS
16.3, 2019, Oct Average, Australia, AUS
21.5, 2019, Nov Average, Australia, AUS
35.6, 2019, Dec Average, Australia, AUS
85.6, 2020, Jan Average, Australia, AUS
86.2, 2020, Feb Average, Australia, AUS
60.0, 2020, Mar Average, Australia, AUS
30.5, 2020, Apr Average, Australia, AUS
23.1, 2020, May Average, Australia, AUS
18.1, 2020, Jun Average, Australia, AUS
20.9, 2020, Jul Average, Australia, AUS
23.5, 2020, Aug Average, Australia, AUS
18.1, 2020, Sep Average, Australia, AUS
26.2, 2020, Oct Average, Australia, AUS
29.4, 2020, Nov Average, Australia, AUS
57.0, 2020, Dec Average, Australia, AUS
